variety_id,crop,variety_name,year_of_release,stress_tolerance,key_attributes,states_acronyms,seasons,days_to_maturity,evidence_quality,stress_types_list,seednet_match,seednet_url,seednet_variety_id,search_results_total,institution,data_source,yield_potential,adaptation_ecology,plant_characteristics,field_trials,breeder_institution,commercial_availability,disease_resistance_summary,pest_resistance_summary,drought_tolerance_level,heat_tolerance_level,salt_tolerance_level,seednet_parentage,seednet_maturity_days,seednet_avg_yield,seednet_recommended_states,seednet_notification_number
PADDY__DHAN___PR-114__A01021101,Rice,PR-124,2015,Yes,"Cold, Disease, Drought, Flood, Heat, Pest, Salt","HR, PB",Unknown,,High,Cold|Disease|Drought|Flood|Heat|Pest|Salt,YES,https://seednet.gov.in/SeedVarieties/ssrsVarietydetail.aspx?varietycd=A0102164,A0102164,184,PAU,csc,,,,,,,,,unknown,unknown,unknown,,,,,
BENGAL_GRAM__GRAM_CH__PUSA-212__A0410143,Soybean,Pusa 12,2015,Yes,"Cold, Disease, Drought, Flood, Heat, Pest, Salt","PB, HR, DL, UK, UP, BR",Unknown,,High,Cold|Disease|Drought|Flood|Heat|Pest|Salt,YES,https://seednet.gov.in/SeedVarieties/ssrsVarietydetail.aspx?varietycd=A0302080,A0302080,163,Indian Agricultural Research Institute,csc,,,,,,,,,unknown,unknown,unknown,,,,,
MAIZE__MAKKA___P-3540__A020716549,Maize,P-3580,2015,Yes,"Disease, Heat, Salt","AP, KA, TN, MH",Unknown,,Low,Disease|Heat|Salt,YES,https://seednet.gov.in/SeedVarieties/ssrsVarietydetail.aspx?varietycd=A0207705,A0207705,18,Pioneer Overseas Corporation,csc,,,,,,,,,unknown,unknown,unknown,,,,,
PEARL_MILLET__BAJRA___86M90__A0209429,Pearl Millet,86M01,2015,No,Standard variety,"RJ, GJ, HR, UP, MP, PB, DL, AP, KA, TN, MH",Unknown,,Low,,YES,https://seednet.gov.in/SeedVarieties/ssrsVarietydetail.aspx?varietycd=A0209426,A0209426,2,Pioneer Overseas Corporation,csc,,,,,,,,,unknown,unknown,unknown,,,,,
PADDY__DHAN___Shalimar_Rice-2__nan,Rice,Shalimar Rice-2,2015,Yes,"Cold, Disease, Drought, Flood, Heat, Pest, Salt","JAM, JK",Unknown,,High,Cold|Disease|Drought|Flood|Heat|Pest|Salt,YES,https://seednet.gov.in/SeedVarieties/ssrsVarietydetail.aspx?varietycd=A01021709,A01021709,115,SKUAST,csc,,,,,,,,,unknown,unknown,unknown,,,,,
PADDY__DHAN___Shalimar_Rice-3__nan,Rice,Shalimar Rice-3,2015,Yes,"Cold, Disease, Drought, Flood, Heat, Pest, Salt","JAM, JK",Unknown,,High,Cold|Disease|Drought|Flood|Heat|Pest|Salt,YES,https://seednet.gov.in/SeedVarieties/ssrsVarietydetail.aspx?varietycd=A01021707,A01021707,137,SKUAST,csc,,,,,,,,,unknown,unknown,unknown,,,,,
WHEAT__GEHON___Shalimar_Wheat-2__SKW-355___nan,Bread Wheat,Shalimar Wheat-2,2015,No,Standard variety,"JAM, JK",Unknown,,Low,,YES,https://seednet.gov.in/SeedVarieties/ssrsVarietydetail.aspx?varietycd=A0104618,A0104618,0,SKUAST,csc,,,,,,,,,unknown,unknown,unknown,,,,,
OAT__Shalimar_Fodder_Oats-3__nan,Fodder Oat,Shalimar Fodder Oats-4,2015,Yes,"Cold, Disease, Drought, Flood, Heat, Pest, Salt","JAM, JK",Unknown,,Medium,Cold|Disease|Drought|Flood|Heat|Pest|Salt,YES,https://seednet.gov.in/SeedVarieties/ssrsVarietydetail.aspx?varietycd=A0609052,A0609052,31,SKUAST,csc,,,,,,,,,unknown,unknown,unknown,,,,,
LENTIL__MASUR___Shalimar_Masoor-3__A0309103,Lentil,Shalimar Masoor-2,2015,Yes,"Disease, Drought, Flood, Heat, Pest","JAM, JK",Unknown,,Low,Disease|Drought|Flood|Heat|Pest,YES,https://seednet.gov.in/SeedVarieties/ssrsVarietydetail.aspx?varietycd=A0309121,A0309121,16,SKUAST,csc,,,,,,,,,unknown,unknown,unknown,,,,,
BRINJAL__Arka_Avinash__nan,Brinjal,Arka Avinash,2022,Yes,"Cold, Disease, Drought, Flood, Heat, Pest, Salt","KA, KL, TN",Unknown,,High,Cold|Disease|Drought|Flood|Heat|Pest|Salt,YES,https://seednet.gov.in/SeedVarieties/ssrsVarietydetail.aspx?varietycd=H070217522,H070217522,79,ICAR- IIHR,csc,,,,,,,,,unknown,unknown,unknown,,,,,
BRINJAL__Phule_Krishna__H070217531,Brinjal or eggplant,Pusa Krishna,2022,No,Standard variety,"MP, MH",Unknown,,Low,,YES,https://seednet.gov.in/SeedVarieties/ssrsVarietydetail.aspx?varietycd=H070216633,H070216633,1,ICAR- IARI,csc,,,,,,,,,unknown,unknown,unknown,,,,,
BRINJAL__Kashi_Brinjal_Green_Round__IVBR-17___nan,Brinjal,Kashi Brinjal Green Round,2022,Yes,"Cold, Disease, Drought, Flood, Heat, Pest, Salt","PB, UP, BR, JH",Unknown,,Low,Cold|Disease|Drought|Flood|Heat|Pest|Salt,YES,https://seednet.gov.in/SeedVarieties/ssrsVarietydetail.aspx?varietycd=H070217532,H070217532,14,"ICAR-IIVR, Post Box No. 01, Post Office Jakhnini (Shahanshahpur)",csc,,,,,,,,,unknown,unknown,unknown,,,,,
CABBAGE__KTCBH-822__nan,Cabbage,KTCBH-822,2022,Yes,"Cold, Disease, Drought, Flood, Heat, Pest, Salt","JAM, HP, UK",Unknown,,High,Cold|Disease|Drought|Flood|Heat|Pest|Salt,YES,https://seednet.gov.in/SeedVarieties/ssrsVarietydetail.aspx?varietycd=H030217524,H030217524,122,"ICAR- IARI, Regional Station Katrain",csc,,,,,,,,,unknown,unknown,unknown,,,,,
CAULIFLOWER__Pusa_Cauliflower_Hybrid_101__DCH-1467___nan,Cauliflower,Pusa Cauliflower Hybrid 101,2022,No,Standard variety,"OR, CG, AP",Unknown,,Low,,YES,https://seednet.gov.in/SeedVarieties/ssrsVarietydetail.aspx?varietycd=H030317528,H030317528,0,ICAR- IARI,csc,,,,,,,,,unknown,unknown,unknown,,,,,
CARROT__Pusa_Prateek__IPC-3___nan,Carrot,Pusa Prateek,2022,Yes,"Cold, Disease, Drought, Flood, Heat, Pest, Salt","MP, MH, GA, KA, TN, KL, PON",Unknown,,Low,Cold|Disease|Drought|Flood|Heat|Pest|Salt,YES,https://seednet.gov.in/SeedVarieties/ssrsVarietydetail.aspx?varietycd=H100217561,H100217561,18,ICAR- IARI,csc,,,,,,,,,unknown,unknown,unknown,,,,,
CUCUMBER__Pusa_Capsicum-1__KTC-1___nan,Capsicum,Pusa Capsicum-1,2022,No,Standard variety,"RJ, GJ, HR, DL, KA, TN, KL, PY",Unknown,,Low,,YES,https://seednet.gov.in/SeedVarieties/ssrsVarietydetail.aspx?varietycd=H040317540,H040317540,0,"ICAR- IARI, Regional Station Katrain",csc,,,,,,,,,unknown,unknown,unknown,,,,,
PADDY__DHAN___Chhattisgarh_Ragi-2__nan,Greater Yam,Chhattisgarh Ratalu-2,2022,Yes,"Cold, Disease, Drought, Flood, Heat, Pest, Salt","JAM, JK, HP, UK",Unknown,,High,Cold|Disease|Drought|Flood|Heat|Pest|Salt,YES,https://seednet.gov.in/SeedVarieties/ssrsVarietydetail.aspx?varietycd=A01022030,A01022030,103,Shaheed Gudadhoor College of Agriculture and Research Station (Chhattisgarh Gandhi Krishi Vishwavidyalaya),csc,,,,,,,,,unknown,unknown,unknown,,,,,
INDIAN_BEAN__DOLICHO__Kashi_Bouni_Sem-9__nan,Indian Bean,Kashi Bouni Sem-9,2022,Yes,"Cold, Disease, Drought, Flood, Heat, Pest, Salt","CG, UDA",Unknown,,Medium,Cold|Disease|Drought|Flood|Heat|Pest|Salt,YES,https://seednet.gov.in/SeedVarieties/ssrsVarietydetail.aspx?varietycd=H120717546,H120717546,43,"IIVR, Post Box No. 01, Post Office Jakhini (Shahanshahpur)",csc,,,,,,,,,unknown,unknown,unknown,,,,,
INDIAN_BEAN__DOLICHO__kashi_Bauni_Sem-3__nan,Indian Bean,Kashi Bouni Sem-3,2022,Yes,"Cold, Disease, Drought, Flood, Heat, Pest, Salt","MP, MH",Unknown,,Low,Cold|Disease|Drought|Flood|Heat|Pest|Salt,YES,https://seednet.gov.in/SeedVarieties/ssrsVarietydetail.aspx?varietycd=H120717548,H120717548,17,"IIVR, Post Box No. 01, Post Office Jakhini (Shahanshahpur)",csc,,,,,,,,,unknown,unknown,unknown,,,,,
